original,translated,reference,context_languages,strategy,comet,chrf,bleu,ter,bertscore
"Usage: fuser [-fIMuvw] [-a|-s] [-4|-6] [-c|-m|-n SPACE]
             [-k [-i] [-SIGNAL]] NAME...
       fuser -l
       fuser -V
Show which processes use the named files, sockets, or filesystems.

  -a,--all              display unused files too
  -i,--interactive      ask before killing (ignored without -k)
  -I,--inode            use always inodes to compare files
  -k,--kill             kill processes accessing the named file
  -l,--list-signals     list available signal names
  -m,--mount            show all processes using the named filesystems or
                        block device
  -M,--ismountpoint     fulfill request only if NAME is a mount point
  -n,--namespace SPACE  search in this name space (file, udp, or tcp)
  -s,--silent           silent operation
  -SIGNAL               send this signal instead of SIGKILL
  -u,--user             display user IDs
  -v,--verbose          verbose output
  -w,--writeonly        kill only processes with write access
  -V,--version          display version information
","Cách dùng: fuser [-fIMuvw] [-a|-s] [-4|-6] [-c|-m|-n 命名空间] 
                     [-k [-i] [-СИГНАЛ]] 名字…
         fuser -l
         fuser -V
Exibe quais processos estão utilizando os arquivos, soquetes ou sistemas de arquivo especificados. 

    -a,-all            também exibirá arquivos não utilizados.
  -i,--interactive   solicitará confirma0ção antes de encerrar um processo (ignorado sem o uso do parâmetro '-k').
-I,--inode           sempre usará inodes para comparar arquivos.
    -k,--kill          encerrará os processos que estão acessando o determinado arquivo.
    -l,--list-signals  listará todos os sinais permitidos.
  -m,--mount         exibirá todos os processos utilizando as file systems ou dispositinares de bloco especificados.
                     
  -M,--ismountpoint    executará o comando apenas se a variável NAME for um ponto de montagem (um mout point).
    -n,--namespace 命名空间   pesquisar no espaço nomeado indicado, que pode ser file, udp ou tcp.
                     
  -s,--silent        não exibirá mensagens.
-СИГНАЛ            enviará o sinal especificado em vez de SIGKILL.
    -u,--user          mostrará o ID do usuário (UID).
                     
  -v,--verbose       habilitará mensagens detalhadas. 
-w,--writeonly      encerrará apenas processos com permissão para escrever.
    -V,--version       exibirá informações sobre a versão do fuser.","Uso:   fuser [-fMuv] [-a|-s] [-4|-6] [-c|-m|-n ESPAÇO]
             [-k [-i] [-SINAL]] NOME...
       fuser -l
       fuser -V
Mostra quais processos usam os arquivos, sockets ou sistema de arquivos especificados.

  -a,--all              exibe também arquivos sem uso
  -i,--interactive      pergunta antes de matar (ignorado sem -k)
  -k,--kill             mata processos acessando o arquivo especificado
  -l,--list-signals     lista os nomes de sinal disponíveis
  -m,--mount            mostra todos processos usando o sistema de arquivos
                        ou dispositivo de bloco especificado
  -M,--ismountpoint     realiza solicitação apenas se NOME for um ponto
                        de montagem
  -n,--namespace ESPAÇO pesquisa neste espaço de nome (file, udp ou tcp)
  -s,--silent           operação silenciosa
  -SINAL                envia este sinal em vez de SIGKILL
  -u,--user             exibe IDs de usuário
  -v,--verbose          saída detalhada
  -w,--writeonly        mata apenas processos com acesso de gravação
  -V,--version          exibe informações de versão
","ZH_CN,RU",LLAMA,80.13216853141785,57.74712164681854,25.252230135222412,78.86178861788618,79.44222688674927
"  -4,--ipv4             search IPv4 sockets only
  -6,--ipv6             search IPv6 sockets only
","[{'key': '-4', 'value': '  -4,--ipv4              apenas procurar endereços IPv4'}, {'key': '-6', 'value': '  -6,--ipv6              apenas procurar endereços IPv6'}]","  -4,--ipv4             pesquisa apenas sockets IPv4
  -6,--ipv6             pesquisa apenas sockets IPv6
","ZH_CN,RU",LLAMA,62.46599555015564,34.39740567742635,7.103702656973528,100.0,74.62245225906372
"  udp/tcp names: [local_port][,[rmt_host][,[rmt_port]]]

","Các tên udp/tcp: [cổng_cục_bộ][,[máy_chủ][,[cổng_máy_chủ]]]","  -                     redefine opções

  nomes udp/tcp: [porta_local][,[maq_rmt][,[porta_rmt]]]

","ZH_CN,RU",LLAMA,68.47146153450012,22.240204632283213,31.351726500517874,83.33333333333334,84.77283716201782
"fuser (PSmisc) %s
",fuser (PSmisc) %s,"fuser (PSmisc) %s
","ZH_CN,RU",LLAMA,97.82291650772095,100.0,100.00000000000004,0.0,100.0
"Copyright (C) 1993-2024 Werner Almesberger and Craig Small

",Privacidade reservada por Werner Almesberger e Craig Small. Todos os direitos reservados (©) de 1993 a 2024.,"Copyright (C) 1993-2020 Werner Almesberger and Craig Small

","ZH_CN,RU",LLAMA,67.94365048408508,42.63383019306554,5.908002399935303,100.0,79.19783592224121
"PSmisc comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under
the terms of the GNU General Public License.
For more information about these matters, see the files named COPYING.
","PSmisc NÃO PROVIDE ANY WARRANTIES. Este programa é software livre, e você pode redistribuí-lo sob a Licença Pública Geral GNU (GPL). Para obter mais informações, consulte o arquivo COPYING.","PSmisc vem com ABSOLUTAMENTE NENHUMA GARANTIA.
Este é um software livre, e você é bem-vindo em redistribuí-lo dentro
dos termos da Licença Pública Geral GNU (GPL).
Para mais informações a respeito, veja os arquivos com o nome COPYING.
","ZH_CN,RU",LLAMA,85.03863215446472,50.67647356989209,30.017476376468142,60.526315789473685,85.85386276245117
"Cannot open /proc directory: %s
",Não foi possível abrir o diretório /proc: %s,"Não foi possível abrir o diretório /proc: %s
","ZH_CN,RU",LLAMA,97.13379740715027,100.0,100.00000000000004,0.0,100.00001192092896
"Cannot allocate memory for matched proc: %s
",Não é possível alocar memória para o processo em execução com ID %s.,"Não foi possível alocar memória ao proc equiparado: %s
","ZH_CN,RU",LLAMA,75.5075991153717,49.97842284721711,12.874330508144842,100.0,83.44667553901672
"Specified filename %s does not exist.
",O nome do arquivo %s não existe.,"O nome de arquivo especificado %s não existe.
","ZH_CN,RU",LLAMA,94.86939907073975,59.24064445413596,47.49549533009781,25.0,92.81151294708252
"Cannot stat %s: %s
","Não foi possível obter estado (stat) do arquivo %s
","Não foi possível analisar %s: %s
","ZH_CN,RU",LLAMA,72.62446284294128,48.04929949088303,15.851165692617148,83.33333333333334,80.99637627601624
